# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	6492
#@/user_id	9dd1f55d-4634-4c50-b209-da3cd5d3a516
a 	啊	c=6 d=0.697676 t=6492
mo xing de 	模型的	c=1 d=1 t=2712
mo xing hou 	模型後	c=1 d=1 t=2645
mo xing ku 	模型庫	c=2 d=1.43823 t=1098
mo xing shi 	模型時	c=2 d=1.86502 t=1478
mo xing zhi xin 	模型之心	c=1 d=1 t=2007
mo xing zhi zhen 	模型指針	c=1 d=1 t=2649
mo xing zi nang guo 	模型子囊果	c=1 d=1 t=2453
mou ge 	某個	c=2 d=1.00018 t=4322
mou xie 	某些	c=5 d=1.27118 t=3899
mu 	木	c=2 d=0.108193 t=4507
mu 	目	c=1 d=1 t=1775
mu ban 	木板	c=2 d=1 t=4511
mu biao 	目標	c=1 d=1 t=1803
mu cai 	木材	c=2 d=1.00223 t=4257
mu di 	目的	c=5 d=1.21811 t=2368
mu lu 	目錄	c=1 d=1 t=5132
mu lu xia 	目錄下	c=1 d=1 t=2259
mu qian 	目前	c=14 d=1.83723 t=5924
mu tou 	木頭	c=1 d=1 t=4754
mu zhuo 	木桌	c=1 d=1 t=2119
mu zhuo zi 	木桌子	c=1 d=1 t=4508
na 	那	c=3 d=1.00032 t=6288
na bian 	那邊	c=2 d=1 t=3973
na dao 	拿到	c=1 d=1 t=6247
na ge 	那個	c=14 d=0.293933 t=6434
na ge wen ti 	那個問題	c=1 d=1 t=6352
na jiu 	那就	c=1 d=1 t=4919
na li 	哪裏	c=3 d=1.49172 t=6490
na li 	那裏	c=4 d=1.68876 t=6316
na me 	那麼	c=4 d=2.15497 t=6396
na ni 	那你	c=1 d=1 t=840
na wo 	那我	c=1 d=1 t=5225
na zhong 	那種	c=1 d=1 t=4572
nan sha 	南沙	c=2 d=1.21225 t=1583
nan sha qu 	南沙區	c=1 d=1 t=1581
nan yi 	難以	c=1 d=1 t=5642
ne 	呢	c=5 d=1.48621 t=6311
ne ge 	呢個	c=2 d=1.93707 t=4737
nei 	內	c=6 d=0.168882 t=3921
nei bu 	內部	c=4 d=1.60146 t=2178
nei qian 	內嵌	c=1 d=1 t=1807
nei rong 	內容	c=7 d=0.913931 t=6492
neng 	能	c=10 d=1.64669 t=6246
neng bu neng 	能不能	c=1 d=1 t=6207
neng fou 	能否	c=1 d=1 t=5646
neng shi yong 	能使用	c=1 d=1 t=5535
neng zuo 	能做	c=0 d=0.1 t=4687
neng zuo ma 	能做嗎	c=1 d=1 t=4688
ni 	你	c=6 d=1.16573 t=6477
ni ba 	你把	c=2 d=1.05207 t=6346
ni bu 	你不	c=0 d=0.1 t=3947
ni bu yi ding 	你不一定	c=1 d=1 t=3948
ni de 	你的	c=4 d=1.00254 t=6425
ni ding 	擬定	c=1 d=1 t=764
ni dui 	你對	c=1 d=1 t=4299
ni fang wen 	你訪問	c=1 d=1 t=6097
ni gang gang 	你剛剛	c=1 d=1 t=4590
ni hao 	你好	c=4 d=1.9802 t=6492
ni hui zuo 	你會做	c=1 d=1 t=4451
ni kan 	你看	c=1 d=0.882705 t=6263
ni kan dao 	你看到	c=1 d=1 t=4441
ni kan kan 	你看看	c=3 d=1.24537 t=4658
ni kan zhe ge 	你看這個	c=1 d=1 t=6264
ni ke 	你可	c=0 d=0.1 t=4136
ni ke yi 	你可以	c=1 d=1 t=4137
ni mai 	你買	c=1 d=1 t=1766
ni neng 	你能	c=1 d=0.101301 t=6046
ni neng bu neng 	你能不能	c=1 d=1 t=6047
ni shi 	你是	c=2 d=1.00006 t=6120
ni shuo 	你說	c=1 d=1 t=6006
ni xia mang 	你瞎忙	c=1 d=1 t=6472
ni xian 	你先	c=1 d=1 t=4808
ni xian zuo 	你先做	c=1 d=1 t=4518
ni xie de 	你寫的	c=2 d=1 t=6389
ni you 	你有	c=1 d=0.1 t=4905
ni you dong xi 	你有東西	c=1 d=1 t=4906
ni zai 	你在	c=7 d=1.30237 t=6315
ni zhi qian 	你之前	c=1 d=1 t=6353
nian 	年	c=6 d=2.91126 t=1796
nian zhi 	粘滯	c=3 d=2.16799 t=3362
niu ju 	扭矩	c=1 d=1 t=3296
niu zhuan 	扭轉	c=3 d=2.7003 t=2926
nong du 	濃度	c=1 d=1 t=3140
o 	哦	c=6 d=1.10235 t=6492
o 	噢	c=1 d=1 t=1051
ou feng 	歐風	c=1 d=1 t=1968
ou niao 	鷗鳥	c=0 d=0.115803 t=1969
pa 	怕	c=0 d=0.1 t=420
pa lo te luo yi 	怕咯特洛伊	c=1 d=1 t=421
pa ti 	爬梯	c=0 d=0.1 t=2909
pa ti chang 	爬梯長	c=1 d=1 t=2910
pang bian 	旁邊	c=1 d=1 t=791
pao 	跑	c=3 d=1.50409 t=6155
pao ne 	跑呢	c=1 d=1 t=6296
pao si 	跑死	c=1 d=1 t=6091
pei zhi 	配置	c=8 d=1.64979 t=6492
peng zhuang 	碰撞	c=22 d=2.85078 t=5081
peng zhuang ce shi 	碰撞測試	c=1 d=1 t=5026
pi ka 	皮卡	c=1 d=1 t=804
pian duan 	片段	c=1 d=1 t=2327
ping hua 	平滑	c=1 d=1 t=4570
ping lun 	評論	c=1 d=1 t=1357
ping ri 	平日	c=1 d=1 t=750
ping shi 	平時	c=0 d=0.1 t=4915
ping shi yong de 	平時用的	c=1 d=1 t=4916
ping tai 	平臺	c=15 d=1.9298 t=5408
po huai 	破壞	c=3 d=2.40954 t=1210
po jie 	破解	c=1 d=1 t=1078
pu tong 	普通	c=2 d=1 t=5730
qi 	七	c=1 d=1 t=5003
qi 	其	c=9 d=1.06364 t=3874
qi 	器	c=2 d=1.74826 t=199
qi dong 	啓動	c=12 d=1.48314 t=5718
qi ren 	其人	c=1 d=1 t=1853
qi shi 	其實	c=1 d=1 t=4391
qi ta 	其他	c=12 d=1.17884 t=6003
qi ta 	其它	c=1 d=1 t=4602
qi ta ge shi 	其他格式	c=1 d=1 t=5849
qi ta jin shu 	其他金屬	c=1 d=1 t=4516
qi wei 	其爲	c=1 d=1 t=2618
qi ye 	企業	c=6 d=1.00133 t=4071
qi ye wei xin 	企業微信	c=2 d=1.99501 t=2727
qi yong 	啓用	c=2 d=1.03652 t=3189
qi yu 	其餘	c=1 d=1 t=4013
qi zhong 	其中	c=8 d=1.59157 t=5161
qi zhong zhi yi 	其中之一	c=1 d=1 t=2402
qi zuo yong 	起作用	c=1 d=1 t=315
qian 	前	c=2 d=0.100081 t=5317
qian 	錢	c=0 d=0.101906 t=970
qian mian 	前面	c=1 d=1 t=6117
qian ru 	嵌入	c=5 d=1.79854 t=6273
qian ru dao 	嵌入到	c=4 d=1.7213 t=6237
qian ru le 	嵌入了	c=1 d=1 t=6178
qian ru shi 	嵌入式	c=1 d=1 t=3565
qian ti 	前提	c=2 d=1.74453 t=5117
qian ti xia 	前提下	c=1 d=1 t=3833
qian wen 	前文	c=1 d=1 t=5572
qian yi 	遷移	c=0 d=0.1 t=2061
qian yi dao 	遷移到	c=1 d=1 t=2062
qian yi ge 	前一個	c=1 d=1 t=5318
qian zhe 	前者	c=2 d=1 t=5333
qian zhui 	前綴	c=2 d=1.00166 t=3760
qiang 	牆	c=2 d=1 t=4128
qiang hou 	牆厚	c=1 d=1 t=2144
qiang mian 	牆面	c=4 d=1.26448 t=4925
qiang ti 	牆體	c=1 d=1 t=1092
qiang zhi 	牆紙	c=1 d=1 t=4667
qie 	且	c=1 d=1 t=2295
qing 	請	c=7 d=1.86975 t=6492
qing can kao 	請參考	c=1 d=1 t=2552
qing jia 	請假	c=1 d=1 t=3714
qing kuang 	情況	c=1 d=1 t=226
qing kuang xia 	情況下	c=2 d=1.26847 t=3900
qing li 	清理	c=1 d=1 t=6053
qing wen 	請問	c=1 d=0.133541 t=1711
qing wen yi xia 	請問一下	c=2 d=1 t=4359
qiu 	球	c=2 d=1 t=4835
qiu ti 	球體	c=5 d=2.19668 t=2428
qu 	區	c=1 d=1 t=2278
qu 	去	c=3 d=1.54007 t=4986
qu 	取	c=1 d=1 t=2697
qu 	曲	c=1 d=1 t=2920
qu de 	取得	c=2 d=1.16284 t=2701
qu dong 	驅動	c=6 d=1 t=4201
qu guo 	去過	c=1 d=1 t=1754
qu ma 	去嗎	c=1 d=1 t=4080
qu mian 	曲面	c=2 d=1.97045 t=2918
qu ti 	軀體	c=1 d=1 t=3128
qu zhe 	曲折	c=1 d=1 t=897
qu zhi 	取值	c=10 d=0.929124 t=3617
quan 	全	c=1 d=1 t=4386
quan ju 	全局	c=3 d=1.00004 t=5524
quan xiang 	全向	c=1 d=1 t=760
que ding 	確定	c=4 d=1.01935 t=6322
que shi 	確實	c=1 d=1 t=1151
ran cheng 	染成	c=0 d=0.1 t=4752
ran hou 	然後	c=13 d=1.26188 t=6367
rang 	讓	c=3 d=1 t=4834
re dian 	熱點	c=1 d=1 t=3580
ren 	人	c=1 d=1 t=485
ren ci 	人次	c=2 d=1.83527 t=483
ren gong zhi neng 	人工智能	c=1 d=1 t=3561
ren li 	人力	c=5 d=4.49198 t=484
ren wei 	人爲	c=2 d=1.48191 t=2670
ren wei shi 	認爲是	c=1 d=1 t=3361
ren wu 	任務	c=6 d=1.52952 t=1081
ren yuan 	人員	c=2 d=1.07101 t=1843
reng ran 	仍然	c=1 d=1 t=3907
reng zai 	仍在	c=1 d=1 t=5399
ri 	日	c=9 d=3.23216 t=3713
rong ren 	容忍	c=1 d=1 t=3277
rou xing 	柔性	c=1 d=1 t=3298
ru 	如	c=9 d=1 t=5490
ru guo 	如果	c=17 d=0.733447 t=6492
ru guo shi 	如果是	c=1 d=1 t=914
ru ni 	如你	c=1 d=1 t=647
ru xia 	如下	c=1 d=1 t=5169
ru xia tu 	如下圖	c=4 d=1.29063 t=5954
ruan 	軟	c=3 d=2.96536 t=3116
ruan jian 	軟件	c=8 d=1.00019 t=5667
ruan jian zhong xin 	軟件中心	c=1 d=1 t=4416
ruo 	若	c=4 d=1.29774 t=3190
ruo you 	若有	c=1 d=1 t=2602
san ge 	三個	c=1 d=1 t=1497
san ming 	三名	c=1 d=1 t=590
san yuan 	三元	c=1 d=1.09418 t=2955
san yuan zu 	三元組	c=1 d=1 t=2944
san zhe 	三者	c=0 d=0.1 t=2532
sao di 	掃地	c=0 d=0.1 t=796
sao di ji 	掃地機	c=1 d=1 t=797
se cai 	色彩	c=1 d=1 t=5772
sen lin 	森林	c=1 d=1 t=4456
shan chu 	刪除	c=5 d=1.61633 t=1214
shan diao 	刪掉	c=2 d=1.16946 t=6467
shan diao le 	刪掉了	c=1 d=1 t=6466
shang 	上	c=7 d=1.43486 t=6318
shang ban 	上班	c=1 d=1 t=1320
shang chuan 	上傳	c=1 d=1.00069 t=4735
shang de 	上得	c=0 d=0.190484 t=4742
shang de dao 	上得到	c=1 d=1 t=4743
shang dian nao 	上電腦	c=1 d=1 t=4726
shang fang 	上方	c=1 d=1 t=5152
shang ji 	上級	c=1 d=1 t=1303
shang mian 	上面	c=4 d=1.00009 t=6017
shang shu 	上述	c=1 d=1 t=3122
shang wang 	上網	c=0 d=0.1 t=2278
shang wu 	上午	c=1 d=1 t=3716
shang wu shang de dao 	上唔上得到	c=1 d=1 t=4723
shang ye gong si 	商業公司	c=1 d=1 t=1837
shang zhe ge 	上這個	c=1 d=1 t=4718
shao hou 	稍後	c=0 d=0.1 t=5397
shao hou yi 	稍後以	c=1 d=1 t=5398
shao liang 	少量	c=1 d=1 t=2042
she 	設	c=4 d=1.9418 t=3077
she ding 	設定	c=1 d=1.00103 t=3439
she ding de shi hou 	設定的時候	c=1 d=1 t=2525
she ji 	設計	c=1 d=1 t=2143
she wei 	設爲	c=2 d=1.91851 t=3344
she xiang 	設想	c=0 d=0.1 t=4672
she xiang ji 	攝像機	c=12 d=4.80046 t=6044
she xiang shi 	設想是	c=1 d=1 t=4673
she xiang tou 	攝像頭	c=2 d=1 t=5992
she zhi 	設值	c=1 d=1 t=2501
she zhi 	設置	c=22 d=4.3516 t=6492
she zhi de 	設置的	c=1 d=1 t=5220
she zhi ma 	設置嗎	c=1 d=1 t=4604
shen du 	深度	c=5 d=1.01026 t=5927
shen me 	什麼	c=15 d=1.20589 t=6415
shen me de 	什麼的	c=1 d=1 t=807
shen me shi hou 	什麼時候	c=1 d=1 t=4096
shen qi 	神奇	c=0 d=0.1 t=6469
shen yuan 	甚遠	c=1 d=1 t=5761
sheng 	勝	c=1 d=1 t=1575
sheng 	昇	c=8 d=4.42544 t=4989
sheng 	生	c=1 d=1 t=1396
sheng cheng 	生成	c=7 d=3.50701 t=5683
sheng huan 	生還	c=1 d=1 t=4179
shi 	是	c=56 d=4.4387 t=6466
shi 	時	c=34 d=1.00018 t=5799
shi 	氏	c=2 d=1.98511 t=3044
shi 	試	c=0 d=0.1 t=4917
shi bu shi 	是不是	c=3 d=1 t=5364
shi chang 	時長	c=2 d=1 t=3251
shi de 	使得	c=1 d=1 t=320
shi de 	是的	c=8 d=1.00218 t=6213
shi fou 	是否	c=9 d=1.00004 t=5534
shi fou you 	是否有	c=1 d=1 t=2592
shi hou 	時候	c=7 d=1.01231 t=6302
shi ji 	實際	c=1 d=0.100001 t=4935
shi ji chang jing 	實際場景	c=1 d=1 t=4936
shi jian 	事件	c=1 d=1 t=1170
shi jian 	實踐	c=1 d=1 t=5094
shi jian 	時間	c=6 d=0.150871 t=4977
shi jie 	世界	c=5 d=0.20439 t=3210
shi jie cha jian 	世界插件	c=1 d=1 t=2724
shi jie zhuang tai 	世界狀態	c=1 d=1 t=3211
shi ju 	視距	c=1 d=1 t=5887
shi jue 	視覺	c=3 d=1 t=5963
shi li 	示例	c=1 d=1 t=2612
shi liao 	石料	c=1 d=1 t=3703
shi ma 	是嗎	c=2 d=1 t=4394
shi na ge 	是那個	c=1 d=1 t=6435
shi nei 	室內	c=3 d=1 t=4576
shi neng 	使能	c=1 d=1 t=3478
shi pin 	視頻	c=4 d=1.5599 t=6166
shi rang 	是讓	c=0 d=0.1 t=4987
shi shen me 	是什麼	c=3 d=1.05622 t=4460
shi shi 	實時	c=2 d=2.06793 t=5934
shi shi 	試試	c=3 d=1.01687 t=5227
shi ti 	實體	c=0 d=0.1 t=1757
shi ti ka 	實體卡	c=1 d=1 t=1758
shi wo 	是我	c=0 d=0.1 t=5385
shi wo ji cuo le 	是我記錯了	c=1 d=1 t=5386
shi xian 	實現	c=14 d=2.47451 t=6328
shi xiang 	事項	c=1 d=0.722527 t=6492
shi xin 	實心	c=3 d=2.96536 t=1991
shi yan xing 	實驗性	c=1 d=1 t=3471
shi yao 	是要	c=1 d=1 t=6059
shi ye 	視野	c=3 d=2.04766 t=5962
shi yong 	使用	c=19 d=2.17455 t=5805
shi yong 	適用	c=1 d=1 t=3337
shi yong dao 	使用到	c=2 d=1.96561 t=2580
shi yong shuo ming 	使用說明	c=1 d=1 t=2565
shi zai 	是在	c=1 d=0.169252 t=5300
shi zhe yang 	是這樣	c=1 d=1 t=6467
shi zhi 	是指	c=1 d=1 t=1614
shou 	受	c=2 d=1.91851 t=2177
shou dao 	收到	c=1 d=1.00013 t=5863
shou dao le ma 	收到了嗎	c=1 d=1 t=4532
shou dong 	手動	c=4 d=2.87295 t=5163
shou dong bian yi 	手動編譯	c=1 d=1 t=1235
shou ge 	首個	c=1 d=1 t=4966
shou quan 	授權	c=1 d=1 t=1833
shou xian 	首先	c=2 d=1.00002 t=2393
shou yao 	首要	c=2 d=1.84366 t=1922
shu 	數	c=1 d=1 t=1054
shu 	樹	c=3 d=2.01522 t=3527
shu biao 	鼠標	c=5 d=1 t=4183
shu chu 	輸出	c=1 d=1 t=347
shu ge 	數個	c=1 d=1 t=609
shu ju 	數據	c=14 d=2.07422 t=6248
shu ju ji 	數據集	c=1 d=1 t=4358
shu ju ke shi hua 	數據可視化	c=2 d=1.67032 t=5567
shu ju ku 	數據庫	c=7 d=2.62685 t=4562
shu ju ku zhong 	數據庫中	c=1 d=1 t=531
shu ju ku zi dai 	數據庫自帶	c=1 d=1 t=2131
shu liang 	數量	c=1 d=1 t=2784
shu ru 	輸入	c=1 d=1 t=5186
shu ru fa 	輸入法	c=1 d=0.99005 t=6492
shu xi 	熟悉	c=3 d=1.84789 t=4336
shu xing 	屬性	c=8 d=1.00011 t=5082
shu zhi 	數值	c=4 d=1.0031 t=2340
shuai jian 	衰減	c=1 d=1 t=3896
shuang fei yan 	雙飛燕	c=1 d=1 t=3570
shui 	水	c=1 d=1 t=4774
shui ping 	水平	c=0 d=0.1 t=1987
shui ping he re 	水平核熱	c=1 d=1 t=1988
shui wen 	水紋	c=1 d=1 t=4687
shuo 	說	c=2 d=1.03609 t=1358
shuo cuo le 	說錯了	c=2 d=1 t=4778
shuo de 	說的	c=3 d=1 t=6243
shuo ming 	說明	c=5 d=1.88207 t=3711
si 	四	c=1 d=1 t=81
si ge 	四個	c=1 d=1.09501 t=4635
si ge jiao 	四個腳	c=1 d=1 t=4636
si hu 	似乎	c=4 d=1.07887 t=6029
si hu shi 	似乎是	c=1 d=1 t=6026
si hu zai 	似乎在	c=1 d=1 t=1795
si lun 	四輪	c=2 d=1.97531 t=619
si mu 	私募	c=0 d=0.1 t=1600
si mu la ti ou niao 	私募啦提鷗鳥	c=1 d=1 t=1601
si zhou 	四周	c=1 d=1 t=4797
song chi 	鬆弛	c=1 d=1 t=3404
song dao 	送到	c=0 d=0.1 t=6076
sou hu 	搜狐	c=1 d=1 t=1826
su du 	速度	c=13 d=1.00038 t=5349
su liao 	塑料	c=1 d=1 t=3034
su zhou 	蘇州	c=2 d=1.73345 t=1838
suan fa 	算法	c=1 d=0.100001 t=3406
sui ran 	雖然	c=1 d=1 t=3947
sun hao 	損耗	c=1 d=1 t=3302
suo 	鎖	c=0 d=0.1 t=5522
suo ding 	鎖定	c=1 d=1 t=3664
suo shi 	所示	c=2 d=1.81058 t=5494
suo shu 	所述	c=1 d=1 t=4340
suo shuo 	所說	c=1 d=1 t=648
suo ya 	索亞	c=2 d=1.73345 t=1839
suo yi 	所以	c=4 d=1.15559 t=4466
suo yi yi si 	所以意思	c=1 d=1 t=4389
suo you 	所有	c=5 d=1.00004 t=6411
suo you de 	所有的	c=1 d=1 t=3938
suo zai 	所在	c=1 d=1 t=3173
suo zhi 	所知	c=1 d=1.00484 t=5619
ta 	他	c=1 d=1 t=4077
ta 	它	c=5 d=1.11097 t=6451
ta de 	它的	c=2 d=1.00012 t=6279
ta jiu 	它就	c=1 d=1 t=6409
ta shi 	他是	c=1 d=1 t=6009
ta xiang 	他想	c=1 d=1 t=4437
tai 	太	c=1 d=1 t=4578
tai di 	太低	c=1 d=1 t=2009
tai er 	胎兒	c=0 d=0.1 t=1966
tai shi ji 	臺式機	c=1 d=1 t=4913
tan kai 	彈開	c=1 d=1 t=3643
tan tiao 	彈跳	c=2 d=1.956 t=3904
tan xing 	彈性	c=10 d=2.9925 t=3631
tan xing hui fu 	彈性恢復	c=1 d=1 t=2885
tao 	套	c=1 d=1 t=3571
tao lun 	討論	c=1 d=1 t=997
te bie 	特別	c=0 d=0.1 t=4567
te bie man 	特別慢	c=1 d=1 t=4568
te bie shi 	特別是	c=1 d=1 t=5826
te luo yi 	特洛伊	c=0 d=0.1 t=420
te se 	特色	c=1 d=1 t=970
te shu 	特殊	c=1 d=1 t=6437
teng xun 	騰訊	c=1 d=1 t=1943
ti 	提	c=0 d=0.1 t=1600
ti dao 	提到	c=0 d=0.1 t=5303
ti dao de 	提到的	c=1 d=1 t=5304
ti gao 	提高	c=1 d=1 t=1560
ti gong 	提供	c=10 d=1.01865 t=6484
ti ji 	提及	c=2 d=1 t=3699
ti qu 	提取	c=1 d=1 t=635
ti shen 	提神	c=1 d=1 t=4216
ti sheng 	提升	c=1 d=1 t=4950
tian 	天	c=3 d=2.77828 t=480
tian jia 	添加	c=4 d=1.00132 t=4998
tian jin 	填進	c=1 d=1 t=1912
tian ru 	填入	c=1 d=1 t=2444
tiao 	條	c=1 d=1 t=2134
tiao 	調	c=1 d=1 t=4269
tiao guo 	跳過	c=0 d=0.1 t=94
tiao guo le 	跳過了	c=1 d=1 t=95
tiao jian 	條件	c=1 d=1 t=5059
tiao jie 	調節	c=2 d=1.00001 t=5889
tiao shi 	調試	c=5 d=0.756545 t=4092
tiao shi ji lu 	調試記錄	c=1 d=1 t=4093
tiao yong 	調用	c=1 d=1 t=6303
tiao zheng 	調整	c=1 d=1 t=3628
tie zhi 	貼紙	c=1 d=1 t=5767
ting cuo 	聽錯	c=0 d=0.1 t=6129
ting cuo le 	聽錯了	c=1 d=1 t=6130
ting le 	聽了	c=1 d=1 t=742
ting zhi 	停止	c=2 d=1.90032 t=3454
tong 	同	c=6 d=2.06175 t=3473
tong chang 	通常	c=2 d=1.91393 t=3367
tong chang zai 	通常在	c=1 d=1 t=3920
tong guo 	通過	c=16 d=2.55949 t=5652
tong ji 	同級	c=2 d=1.7788 t=332
tong shang 	同上	c=6 d=1.91124 t=3544
tong shi 	同時	c=5 d=2.06155 t=5654
tong xin 	通信	c=1 d=1 t=2088
tong yi 	統一	c=1 d=1 t=4885
tong yi ge 	同一個	c=2 d=1 t=6238
tou 	頭	c=1 d=1 t=6307
tou ming 	透明	c=2 d=1.97045 t=4683
tu 	圖	c=6 d=2.7109 t=5774
tu pian 	圖片	c=10 d=1.85849 t=6455
tu pian da xiao 	圖片大小	c=1 d=1 t=5884
tu pian yu lan 	圖片預覽	c=1 d=1 t=1117
tu piao 	禿瓢	c=1 d=1 t=4267
tu ran 	突然	c=1 d=1 t=4742
tu xiang 	圖像	c=1 d=1 t=5952
tu xing jie mian 	圖形界面	c=2 d=1.65705 t=5519
tuan dui 	團隊	c=2 d=1.04016 t=1836
tui jian 	推薦	c=2 d=0.786628 t=6492
tui xiang 	推想	c=1 d=1 t=3860
tui zhe 	推着	c=1 d=1 t=385
tuo le 	拖了	c=0 d=0.1 t=4977
tuo le shi jian 	拖了時間	c=1 d=1 t=4978
tuo zhan 	拓展	c=0 d=0.1 t=5449
wai 	外	c=1 d=1 t=5548
wai biao 	外表	c=2 d=1.96561 t=2462
wai qiang 	外牆	c=1 d=1 t=2138
wan cheng 	完成	c=6 d=1.90032 t=4964
wan cheng hou 	完成後	c=1 d=1 t=130
wan quan 	完全	c=1 d=1 t=3829
wan shan 	完善	c=1 d=1 t=1709
wan zheng 	完整	c=1 d=1 t=852
wan zheng ban 	完整版	c=1 d=1 t=3968
wang ge 	網格	c=4 d=3.52197 t=5682
wang le 	忘了	c=2 d=1.00004 t=6254
wang luo 	網絡	c=1 d=1 t=1815
wang luo you xi 	網絡遊戲	c=1 d=1 t=1896
wang ye 	網頁	c=1 d=0.635261 t=5302
wang ye ban 	網頁版	c=1 d=1 t=623
wang ye ban 	網頁辦	c=-1 d=0.341298 t=622
wang ye li 	網頁裏	c=1 d=1 t=5303
wang yi 	網易	c=8 d=1.40586 t=6492
wang you 	網友	c=1 d=1 t=1933
wang you 	網遊	c=1 d=1 t=1934
wang zhan 	網站	c=3 d=2.84644 t=4738
wei 	位	c=1 d=1 t=3002
wei 	未	c=10 d=1.426 t=5850
wei 	爲	c=72 d=0.794534 t=6492
wei bi mian 	爲避免	c=1 d=1 t=1140
wei chi 	維持	c=1 d=1 t=3272
wei chi zai 	維持在	c=1 d=1 t=3330
wei hun 	未婚	c=1 d=1 t=1572
wei le 	爲了	c=5 d=0.203692 t=5526
wei li 	爲例	c=2 d=1.17464 t=2666
wei neng 	未能	c=2 d=1.00003 t=3901
wei shen me 	爲什麼	c=1 d=1 t=4566
wei shu 	位數	c=2 d=1.96561 t=6116
wei xin 	威信	c=1 d=1 t=404
wei xin 	微信	c=7 d=1.0001 t=6052
wei xin fa gei ni ba 	微信發給你吧	c=1 d=1 t=4535
wei yi 	唯一	c=5 d=1.15253 t=3391
wei zhi 	位置	c=3 d=1.00522 t=5868
wei zhi 	未知	c=2 d=1.00008 t=3232
wen 	問	c=0 d=0.1 t=6021
wen ben 	文本	c=1 d=1 t=6038
wen dang 	文檔	c=2 d=1 t=5376
wen jian 	文件	c=33 d=3.3784 t=6439
wen jian jia 	文件夾	c=6 d=1.5759 t=4894
wen jian ma 	文件嗎	c=2 d=1 t=6438
wen jian you dian chang 	文件有點長	c=1 d=1 t=4628
wen li 	紋理	c=1 d=1 t=2465
wen ti 	問題	c=5 d=0.312237 t=6351
wen ti le 	問題了	c=1 d=1 t=4845
wen yi xia 	問一下	c=0 d=0.1 t=2063
wo 	我	c=38 d=1.1283 t=6381
wo an zhuang de 	我安裝的	c=1 d=1 t=4411
wo ba 	我把	c=5 d=2.42001 t=6450
wo bang ni 	我幫你	c=1 d=1 t=4006
wo cu lve 	我粗略	c=1 d=1 t=1634
wo da suan 	我打算	c=2 d=1.89137 t=4504
wo de 	我的	c=5 d=1.34939 t=5251
wo dou 	我都	c=1 d=1 t=6444
wo gai le 	我改了	c=2 d=1.8825 t=6407
wo hai shi 	我還是	c=1 d=1 t=6350
wo hao 	我好	c=1 d=0.985112 t=6492
wo hao si 	我好似	c=2 d=1.97531 t=1743
wo huai yi 	我懷疑	c=1 d=1 t=4447
wo ji de 	我記得	c=1 d=1 t=5377
wo jian 	我見	c=0 d=0.1 t=933
wo jian ta 	我見它	c=1 d=1 t=934
wo jiu 	我就	c=1 d=1 t=6423
wo jiu xie 	我就寫	c=1 d=1 t=4926
wo jue de 	我覺得	c=1 d=1 t=1673
wo kan kan 	我看看	c=1 d=1 t=4877
wo kan le 	我看了	c=1 d=1 t=5175
wo ke neng 	我可能	c=1 d=1 t=6129
wo lian bu shang 	我連不上	c=1 d=1 t=4418
wo men 	我們	c=1 d=0.10003 t=6065
wo men yao 	我們要	c=1 d=1 t=6066
wo o den 	我哦㩐	c=3 d=1.00002 t=4162
wo shi 	我是	c=1 d=1 t=1608
wo shuo 	我說	c=0 d=0.1 t=4843
wo shuo de 	我說的	c=1 d=1 t=4844
wo xian 	我先	c=0 d=0.1 t=1599
wo xian kan kan 	我先看看	c=1 d=1 t=1600
wo xian qu 	我先去	c=1 d=1 t=4671
wo xian zai 	我現在	c=1 d=1 t=4654
wo xiang 	我想	c=2 d=1.92774 t=6379
wo xiang wen yi xia 	我想問一下	c=1 d=1 t=2064
wo yao 	我要	c=1 d=1.08869 t=6397
wo yao bu yao 	我要不要	c=1 d=1 t=6374
wo yi wei 	我以爲	c=1 d=1 t=955
wo you 	我有	c=1 d=1 t=4243
wo zai 	我在	c=1 d=0.1 t=5223
wo zai yong 	我在用	c=1 d=1 t=5224
wo zhong yi 	我中意	c=1 d=1 t=962
wo zi ji 	我自己	c=2 d=1 t=4419
wo zuo 	我做	c=1 d=1 t=665
wo zuo de 	我做的	c=1 d=1 t=4506
wu 	五	c=1 d=1 t=239
wu 	唔	c=1 d=0.1 t=4722
wu 	無	c=33 d=7.4355 t=3494
wu an 	午安	c=1 d=1 t=4802
wu bi 	務必	c=1 d=0.955997 t=6492
wu cha 	誤差	c=2 d=1.31192 t=3655
wu li 	物理	c=20 d=0.143455 t=5456
wu li can shu 	物理參數	c=3 d=1.53372 t=3680
wu li fang zhen 	物理仿真	c=2 d=1.18731 t=2155
wu li mo xing 	物理模型	c=1 d=1 t=5457
wu li shu xing 	物理屬性	c=4 d=1.00128 t=3552
wu li xiao guo 	物理效果	c=1 d=1 t=1901
wu li yin qing 	物理引擎	c=5 d=1.22252 t=3677
wu liu 	物流	c=1 d=1 t=489
wu ti 	物體	c=13 d=1.00237 t=5030
wu xiao 	無效	c=1 d=1 t=3051
xi 	系	c=6 d=1.00055 t=3535
xi jie 	細節	c=1 d=0.1 t=4014
xi jie 	西街	c=1 d=1 t=1587
xi lu 	西路	c=1 d=1 t=5171
xi shi duo 	喜市多	c=1 d=1 t=1075
